Pillar,Task ID,Title,Description,Status,Priority,Tags,Example
BUILD,BUILD-001,Stripe Webhook fixen,Fix Stripe webhook integration for payment processing,in_progress,high,"stripe,backend,webhook",Stripe Webhook fixen
BUILD,BUILD-002,Deploy testen,Test deployment pipeline on Vercel,pending,high,"deployment,vercel,ci-cd",Deploy testen
BUILD,BUILD-003,Security Checks implementieren,Implement CSP HTTPS and RBAC security measures,pending,high,"security,compliance",
BUILD,BUILD-004,A11y Testing einrichten,Set up accessibility testing with axe-core,pending,medium,"accessibility,testing",
PAYMENT,PAYMENT-001,Instant Payment aktivieren,Enable instant payment functionality in Stripe,pending,high,"stripe,payment,instant-payment",Instant Payment aktivieren
PAYMENT,PAYMENT-002,Checkout-Link einrichten,Set up Stripe Checkout link for subscriptions,pending,high,"stripe,checkout,subscription",Checkout-Link einrichten
PAYMENT,PAYMENT-003,DSGVO-Compliance prüfen,Verify GDPR compliance for payment processing,pending,high,"compliance,gdpr,legal",
PAYMENT,PAYMENT-004,Preismodell definieren,Define pricing tiers and subscription models,pending,medium,"business,pricing",
YOUTUBE,YOUTUBE-001,Short drehen,Create YouTube Short for product launch,pending,high,"video,marketing,content",Short drehen
YOUTUBE,YOUTUBE-002,Community-Post mit Stripe-Link,Create community post with Stripe payment link,pending,high,"community,marketing,stripe",Community-Post mit Stripe-Link
YOUTUBE,YOUTUBE-003,Launch-Video produzieren,Produce main launch video explaining YONI platform,pending,medium,"video,launch,content",
YOUTUBE,YOUTUBE-004,Social Media Kampagne,Plan and execute social media campaign,pending,medium,"social-media,marketing",
